название остановки,id остановки
Дом Культуры (Шигали),stop_1157
По требованию (Шигали),stop_1158
ул. Советская (Шигали),stop_1159
Казанская ярмарка-1,stop_116
Шигали-1,stop_1160
н.п.Берновые Ковали,stop_1161
Шигали,stop_1162
ул. Советская (Шигали)-1,stop_1163
По требованию (Шигали)-1,stop_1164
"Детский сад ""Айгуль""-1",stop_1165
Озерный-3,stop_1166
Поворот на Дальние Сады-1,stop_1167
ул. Генерала Сафиуллина-2,stop_1168
ул. Овражная-2,stop_1169
ул. Танковая-1,stop_117
ул. Камышлы,stop_1170
жилой массив Вишнёвка,stop_1171
ул. Усердная-2,stop_1172
По требованию (ул.Усердная),stop_1173
ул. Тамчы,stop_1174
ул. Усердная,stop_1175
ул. Чэчэк,stop_1176
жилой массив Привольный,stop_1177
ул. Чэчэк-1,stop_1178
ул. Усердная-1,stop_1179
ул. Латышских Стрелков-1,stop_118
жилой массив Вишнёвка-1,stop_1180
ул. Камышлы-1,stop_1181
ул. Овражная-3,stop_1182
жилой массив Новая Тура-2,stop_1183
Дубровка,stop_1184
Дубровка-1,stop_1185
Ореховка,stop_1186
Обсерватория,stop_1187
Детский тубдиспансер,stop_1188
Станция Обсерватория,stop_1189
ул. Комарова-1,stop_119
Сельсовет,stop_1190
О.п. 774-й км,stop_1191
СТ Водный,stop_1192
"СО ""Синтез""",stop_1193
СО Текстильщик,stop_1194
"СО ""Синтез""-1",stop_1195
СТ Водный-1,stop_1196
О.п. 774-й км-1,stop_1197
Сельсовет-1,stop_1198
Станция Обсерватория-1,stop_1199
ЦПКиО им. Горького-2,stop_12
ул. Карбышева-1,stop_120
Детский тубдиспансер-1,stop_1200
Обсерватория-1,stop_1201
Ореховка-1,stop_1202
жилой массив Новая Тура-3,stop_1203
ТПУ Казань-2,stop_1204
ул. Декабристов д.190,stop_1205
Площадь Восстания,stop_1206
Горьковское шоссе,stop_1207
ул. Горьковское Шоссе д.35/1,stop_1208
Магазин Факел,stop_1209
"Станция метро ""Горки""-1",stop_121
Олимпиец,stop_1210
Жилой массив Ремплер,stop_1211
Жилой массив Залесный,stop_1212
Новая Тура,stop_1213
Урняк,stop_1214
Новопольский,stop_1215
Грузинский,stop_1216
Поворот на Раифу,stop_1217
Ильинское,stop_1218
Айша,stop_1219
ул. Х.Мавлютова,stop_122
Овощевод,stop_1220
ул. Лесная д.30,stop_1221
Успенка,stop_1222
Гипермаркет Берёзка,stop_1223
Автовокзал Мирный,stop_1224
Студенческая,stop_1225
Мирный,stop_1226
ул. Молодёжная,stop_1227
ул. Островского д.20,stop_1228
ул. Чехова,stop_1229
Медицинский колледж,stop_123
Стадион,stop_1230
Автовокзал Зеленодольск,stop_1231
Лесная,stop_1232
Казань – Автовокзал Восточный,stop_1233
пр-кт. Победы д.56Г,stop_1234
ул. Ломжинская,stop_1235
Проспект Альберта Камалеева,stop_1236
Агропромышленный парк Казань,stop_1237
ул. Академика Арбузова д.5,stop_1238
ул. Фатыха Амирхана,stop_1239
ул. Академика Парина,stop_124
ул. Мусина / ТРК Парк Хаус,stop_1240
Магазин Океан,stop_1241
Набережные Моркваши,stop_1242
Технопарк им. Попова,stop_1243
Медицинский центр,stop_1244
Университет Иннополис,stop_1245
ул. Спортивная,stop_1246
ул. Парковая,stop_1247
ул. Спортивная д.116,stop_1248
ул. Болотникова д.5Б,stop_1249
Деревня Универсиады,stop_125
ул. Академика Арбузова д.8,stop_1250
ТРЦ Южный,stop_1251
м. Проспект Победы,stop_1252
Комбинат Здоровье,stop_1253
Гуманитарный институт / ТРК Тандем,stop_1254
ул. Восстания д.28,stop_1255
Энергетический университет / м. Козья Слобода,stop_1256
ул. Лево-Булачная д.28,stop_1257
Казань – Автовокзал Южный,stop_1258
ул. Нурсултана Назарбаева д.10,stop_1259
Южная,stop_126
ул. Туфана Миннуллина,stop_1260
м. Суконная Слобода,stop_1261
Самосыровское кладбище,stop_1262
Граница территории г.Казани №2,stop_1263
Званка,stop_1264
Поворот на Кощаково,stop_1265
Кощаково,stop_1266
"жилой комплекс ""Царево""",stop_1267
Новое Шигалеево,stop_1268
Новое Шигалеево-1,stop_1269
РКБ,stop_127
"жилой комплекс ""Царево""-1",stop_1270
Кощаково-1,stop_1271
Поворот на Кощаково-1,stop_1272
Званка-1,stop_1273
Граница территории г.Казани №1-1,stop_1274
Самосыровское кладбище-1,stop_1275
"СНТ ""Овощник-2""",stop_1276
По требованию (Мамадышский тракт),stop_1277
"СНТ ""Ромашка""",stop_1278
Граница территории г.Казани №3,stop_1279
ДРКБ,stop_128
По требованию (Жиркомбинат),stop_1280
Жиркомбинат,stop_1281
"СНТ ""Горизонт""",stop_1282
"СНТ ""Танкист""",stop_1283
"СНТ ""Содружество""",stop_1284
"СНТ ""Луч""",stop_1285
"жилой комплекс ""Времена года""",stop_1286
"жилой комплекс ""Станция Спортивная""",stop_1287
По требованию (Жиркомбинат)-1,stop_1288
Граница территории г.Казани №3-1,stop_1289
ул. Азамат,stop_129
"СНТ ""Ромашка""-1",stop_1290
"Автодром ""Высокая Гора""",stop_1291
По требованию (ж.к.Атмосфера),stop_1292
ул. Вторая Ударная (ж.к.Атмосфера),stop_1293
жилой комплекс Атмосфера,stop_1294
"Автодром ""Высокая Гора""-1",stop_1295
Казанский автовокзал (ул. Девятаева д.15),stop_1296
ул. Сосновая,stop_1297
Малиновый овраг,stop_1298
Поворот на Бирюли,stop_1299
ул. Абжалилова-1,stop_13
ул. Р.Гареева,stop_130
Новые Бирюли,stop_1300
Куркачи,stop_1301
Старое Чурилино,stop_1302
Чулпаново,stop_1303
Васильева Бужа,stop_1304
Большие Верези,stop_1305
Выезд на Балтаси,stop_1306
Нижние Метески,stop_1307
Поворот на Казанбаш,stop_1308
Старые Турнали,stop_1309
Юнусовская площадь,stop_131
Четыре Двора,stop_1310
Гарталовка,stop_1311
Верхняя Ушма,stop_1312
ул. Загидуллина,stop_1313
Асфальтный завод,stop_1314
Старая Салаусь,stop_1315
Янгулово,stop_1316
Ура,stop_1317
Шишинер,stop_1318
Нослы,stop_1319
ул. Ахтямова,stop_132
Дерюшево,stop_1320
Поворот на Казань,stop_1321
Постанция ГАИ,stop_1322
ул. Пролетарская,stop_1323
Калинино,stop_1324
Школа,stop_1325
АТП,stop_1326
Автостанция Малмыж,stop_1327
ул. Пролетарская д.1Г,stop_1328
Поворот на Савали,stop_1329
ул. С.Сайдашева,stop_133
Поворот на Старый Ирюк,stop_1330
Поворот на Новый Ирюк,stop_1331
Поворот на Тат-Верх-Гоньбу,stop_1332
Поворот на Рожки,stop_1333
Новая Тушка,stop_1334
Поворот на Аджим,stop_1335
Манкинерь,stop_1336
Танабаево,stop_1337
