название остановки,id остановки
Чувашский Брод,stop_1762
Татарское Ахметьево,stop_1763
Нижнее Качеево-1,stop_1764
Нижнее Качеево-2,stop_1765
Юхмачи,stop_1766
Нижнее Альмурзино,stop_1767
Каракули,stop_1768
Алпаково,stop_1769
ул. Сыртлановой,stop_177
Боровка,stop_1770
Поворот на Старую Сахчу,stop_1771
Старый Писмирь,stop_1772
Бригадировка,stop_1773
Курлан,stop_1774
Автовокзал Димитровград,stop_1775
Труженик,stop_1776
Новая Майна – 1,stop_1777
Новая Майна – 2,stop_1778
Поворот на Верхний Мелекесс,stop_1779
ул. Павлюхина-1,stop_178
Моисеевка,stop_1780
Филипповка – 1,stop_1781
Филипповка – 2,stop_1782
Кирилловка,stop_1783
Ташла,stop_1784
Узюково – 2,stop_1785
Узюково – 1,stop_1786
Рассвет – 3,stop_1787
Рассвет – 2 / СНТ Волшебница,stop_1788
ул. Торновая д.127,stop_1789
ул. Х.Такташа,stop_179
ул. Мира д.58,stop_1790
Коммунальная,stop_1791
Поворот на Васильевку,stop_1792
Тольятти – Старый Город,stop_1793
Мусорка,stop_1794
Тольятти – Новый Город,stop_1795
Железнодорожный вокзал Казань-1,stop_1796
Автовокзал Восточный,stop_1797
ул. А.Попова-1,stop_18
площадь Вахитова-2,stop_180
ул. С.Сайдашева-1,stop_181
ул. Ахтямова-1,stop_182
ул. Г.Тукая-3,stop_183
ЦУМ,stop_184
Дворец спорта,stop_185
Центральный стадион-1,stop_186
Энергетический университет-1,stop_187
"ТРК ""Тандем""-1",stop_188
ДК Химиков-1,stop_189
Архив Казани-1,stop_19
"Станция метро ""Яшьлек""-1",stop_190
площадь Восстания-3,stop_191
ул. Гагарина-1,stop_192
"Станция метро ""Северный вокзал""-1",stop_193
ул. Дементьева-3,stop_194
КДК им. Ленина-1,stop_195
Площадь им.А.Ф. Павлова,stop_196
Авиационный завод,stop_197
ул. Максимова-2,stop_198
жилой массив Караваево,stop_199
Автовокзал,stop_2
ул. Академика Арбузова-2,stop_20
ул. Годовикова,stop_200
ул. Академика Павлова,stop_201
ул. Айдарова,stop_202
Молодежная,stop_203
ул. Центрально-Мариупольская,stop_204
Баня №9,stop_205
ул. М.Бигиева,stop_206
Школа №105,stop_207
1-й магазин,stop_208
ул. Литвинова,stop_209
ул. Халитова,stop_21
2-й магазин,stop_210
ул. Давыдова-2,stop_211
жилой массив Северный,stop_212
ул. Давыдова-3,stop_213
2-й магазин-1,stop_214
ул. Литвинова-1,stop_215
1-й магазин-1,stop_216
Школа №105-1,stop_217
ул. М.Бигиева-1,stop_218
Баня №9-1,stop_219
2-й переезд,stop_22
ул. Центрально-Мариупольская-1,stop_220
Молодежная-1,stop_221
Баня №14,stop_222
ул. Ленинградская,stop_223
ул. Айдарова-1,stop_224
ул. Академика Павлова-1,stop_225
ул. Годовикова-1,stop_226
жилой массив Караваево-1,stop_227
ул. Максимова-3,stop_228
ул. О.Кошевого,stop_229
жилой массив Карьер,stop_23
"Станция метро ""Авиастроительная""",stop_230
ул. Дементьева,stop_231
"Станция метро ""Северный вокзал""",stop_232
ул. Гагарина,stop_233
площадь Восстания-1,stop_234
"Станция метро ""Яшьлек""-2",stop_235
ДК Химиков,stop_236
"ТРК ""Тандем""-2",stop_237
Энергетический университет,stop_238
Молодежный центр,stop_239
ул. Ноксинская,stop_24
Центральный стадион,stop_240
ул. Чернышевского,stop_241
Педагогический институт,stop_242
"Комбинат ""Здоровье""-1",stop_243
жилой массив Дербышки-3,stop_244
ул. Мира,stop_245
ул. Раздольная-3,stop_246
ул. Шоссейная-2,stop_247
ул. Дорожная,stop_248
ул. Родник,stop_249
жилой массив Нагорный,stop_25
жилой массив Сосновка,stop_250
ул. Утренняя,stop_251
ул. Транспортная,stop_252
жилой массив Аки,stop_253
ул. Транспортная-1,stop_254
ул. Утренняя-1,stop_255
жилой массив Сосновка-1,stop_256
ул. Родник-1,stop_257
ул. Дорожная-1,stop_258
ул. Шоссейная-3,stop_259
Березовая Роща,stop_26
ул. Раздольная-2,stop_260
ДК им.Саид-Галеева,stop_261
"Магазин ""Восток""-1",stop_262
ул. Серова-1,stop_263
ул. Кулахметова-1,stop_264
Разъезд Восстания-2,stop_265
ПО Тасма-1,stop_266
ул. Окольная,stop_267
ул. Лазарева,stop_268
ул. Болотникова,stop_269
Строительный колледж,stop_27
ул. Халтурина,stop_270
ул. Краснококшайская,stop_271
ул. Поперечно-Базарная,stop_272
ул. М.Вахитова-2,stop_273
ул. Шоссейная-4,stop_274
Речной техникум-1,stop_275
Ж.-д.вокзал-1,stop_276
Колхозный рынок-1,stop_277
ул. Худякова,stop_278
"Станция метро ""Площадь Г.Тукая""-1",stop_279
Интернат,stop_28
Университет-1,stop_280
Театр им. К.Тинчурина,stop_281
ул. Гоголя-1,stop_282
ул. Толстого-1,stop_283
ЦПКиО им. Горького-1,stop_284
"Кафе ""Полет""-1",stop_285
ул. Зур Урам-1,stop_286
ул. Академика Губкина-1,stop_287
"ТД ""Риф Эль""-1",stop_288
ул. Академика Арбузова-1,stop_289
"Магазин ""Комсомольский""",stop_29
Ветеринарная академия-1,stop_290
"Футбольный стадион ""Казань Арена""",stop_291
ул. Гаврилова-1,stop_292
ул. Адоратского-1,stop_293
Универсам 1,stop_294
Роддом-1,stop_295
Городская клиническая больница №7-1,stop_296
39-й квартал-1,stop_297
ул. Маршала Чуйкова-1,stop_298
жилой массив Дружба,stop_299
ул. К.Тинчурина,stop_3
ул. Советская,stop_30
ул. Голубятникова,stop_300
"Кафе ""Солнышко""-1",stop_301
ул. Восстания-1,stop_302
площадь Восстания-2,stop_303
ул. Восход-1,stop_304
ул. Ш.Усманова-1,stop_305
ул. Блюхера-1,stop_306
ул. Серова,stop_307
ул. Блюхера,stop_308
ул. Ш.Усманова,stop_309
жилой массив Дербышки-2,stop_31
ул. Восход,stop_310
площадь Восстания,stop_311
ул. Восстания,stop_312
"Кафе ""Солнышко""",stop_313
ул. Голубятникова-1,stop_314
жилой массив Дружба-1,stop_315
ул. Маршала Чуйкова,stop_316
39-й квартал,stop_317
Городская клиническая больница №7,stop_318
Роддом,stop_319
"Магазин ""Восток""",stop_32
Универсам 1-1,stop_320
ул. Адоратского,stop_321
ул. Гаврилова,stop_322
"Футбольный стадион ""Казань Арена""-1",stop_323
Ветеринарная академия,stop_324
ул. Академика Арбузова,stop_325
"ТД ""Риф Эль""",stop_326
ул. Академика Губкина,stop_327
ул. Зур Урам,stop_328
"Кафе ""Полет""",stop_329
Интернат-1,stop_33
ЦПКиО им. Горького,stop_330
ул. Толстого,stop_331
ул. Гоголя,stop_332
площадь Свободы,stop_333
Университет,stop_334
"Станция метро ""Площадь Г.Тукая""",stop_335
ул. Парижской Коммуны-1,stop_336
ул. Худякова-1,stop_337
Колхозный рынок-3,stop_338
Речной техникум,stop_339
Строительный колледж-1,stop_34
ул. Шоссейная-5,stop_340
ул. М.Вахитова-3,stop_341
ул. Поперечно-Базарная-1,stop_342
ул. Краснококшайская-1,stop_343
ул. Фрунзе,stop_344
Идель,stop_345
ул. Горьковское Шоссе,stop_346
ПО Тасма,stop_347
Разъезд Восстания,stop_348
ул. Советская-1,stop_349
Березовая роща-1,stop_35
жилой массив Киндери,stop_350
Школа №166,stop_351
АЗС,stop_352
жилой массив Большие Дербышки-1,stop_353
жилой массив Малые Дербышки,stop_354
жилой массив Большие Дербышки,stop_355
АЗС-1,stop_356
Школа №166-1,stop_357
жилой массив Киндери-1,stop_358
"Комбинат ""Здоровье""-2",stop_359
жилой массив Нагорный-1,stop_36
Педагогический институт-1,stop_360
ул. Чернышевского-1,stop_361
Гуманитарный институт-1,stop_362
"Магазин ""Океан""",stop_363
Парк Победы,stop_364
ул. Мусина,stop_365
ул. Адоратского-2,stop_366
ул. Ф.Амирхана,stop_367
ул. Мусина-1,stop_368
Парк Победы-1,stop_369
ул. Ноксинская-1,stop_37
"Магазин ""Океан""-1",stop_370
ул. Декабристов-1,stop_371
ул. Челюскина-6,stop_372
Молодежная-3,stop_373
ул. Ленинградская-1,stop_374
ул. Лукина-1,stop_375
ул. Максимова-1,stop_376
"Станция метро ""Яшьлек""",stop_377
Проспект Ибрагимова,stop_378
ул. Коллективная,stop_379
жилой массив Карьер-1,stop_38
ул. П.Лумумбы,stop_380
ул. А.Кутуя,stop_381
"Кафе ""Сирень""",stop_382
ул. Гвардейская,stop_383
Сады,stop_384
ул. Даурская,stop_385
ул. Р.Зорге,stop_386
"Станция метро ""Горки""-3",stop_387
ул. Братьев Касимовых-1,stop_388
ул. Гарифьянова-1,stop_389
2-й переезд-1,stop_39
Кабельное телевидение-2,stop_390
ул. Г.Кайбицкой,stop_391
"Дворец спорта ""Ак Буре""",stop_392
ул. Магистральный проезд,stop_393
ул. Академика Глушко-2,stop_394
ул. Д.Файзи-2,stop_395
переулок Дуслык,stop_396
ул. Д.Файзи-3,stop_397
ул. Академика Глушко-4,stop_398
ул. Магистральный проезд-1,stop_399
ул. Татарстан,stop_4
ул. Халитова-2,stop_40
"Дворец спорта ""Ак Буре""-1",stop_400
ул. Г.Кайбицкой-1,stop_401
ул. Гарифьянова,stop_402
ул. Братьев Касимовых,stop_403
"Станция метро ""Горки""",stop_404
ул. Р.Зорге-1,stop_405
ул. Даурская-1,stop_406
Сады-1,stop_407
ул. Гвардейская-1,stop_408
"Кафе ""Сирень""-1",stop_409
ул. Академика Арбузова-4,stop_41
ул. А.Кутуя-3,stop_410
ул. П.Лумумбы-1,stop_411
ул. Халитова-1,stop_412
ул. Восстания-2,stop_413
Проспект Ибрагимова-1,stop_414
ул. Максимова,stop_415
ул. Лукина,stop_416
ул. Можайского,stop_417
Травмпункт,stop_418
ул. Горьковское Шоссе-2,stop_419
Архив Казани,stop_42
Разъезд Восстания-1,stop_420
ул. Исаева,stop_421
Социально-юридический институт,stop_422
ул. Волгоградская,stop_423
Гуманитарный институт,stop_424
"ТРК ""Тандем""",stop_425
Цирк-1,stop_426
ул. Батурина-1,stop_427
КАИ,stop_428
площадь Свободы-2,stop_429
ул. А.Попова,stop_43
ул. Гоголя-2,stop_430
ул. Толстого-4,stop_431
Чеховский рынок,stop_432
"Кинотеатр ""Мир""",stop_433
ул. Вишневского,stop_434
ул. Достоевского,stop_435
ул. А.Кутуя-1,stop_436
ул. Достоевского-1,stop_437
ул. Товарищеская,stop_438
площадь Свободы-1,stop_439
ул. Пионерская,stop_44
КАИ-2,stop_440
ул. Батурина,stop_441
ул. Волгоградская-1,stop_442
Социально-юридический институт-1,stop_443
ул. Исаева-1,stop_444
ул. Горьковское Шоссе-3,stop_445
ул. Можайского-1,stop_446
"Магазин ""Факел""",stop_447
"Магазин ""Факел""-1",stop_448
площадь Вахитова,stop_449
Советская площадь,stop_45
ул. Железнодорожная,stop_450
Татмебельбыт,stop_451
ул. Модельная,stop_452
"Завод ""Искож""",stop_453
Вторчермет,stop_454
ул. В.Кулагина,stop_455
Регистрационная палата,stop_456
ул. Авангардная,stop_457
Проектная,stop_458
ул. Глазунова,stop_459
Октябрьский городок,stop_46
"ТД ""Аромат""",stop_460
жилой массив Борисково,stop_461
ул. Борисковская,stop_462
ул. Давликеевская,stop_463
Артель Волга,stop_464
Дом культуры (Мирный),stop_465
Магазин (жилой массив Мирный),stop_466
Поликлиника №3,stop_467
ул. В.Синицына,stop_468
Школа №129,stop_469
Кооперативный институт,stop_47
жилой массив Мирный,stop_470
Школа №129-3,stop_471
ул. В.Синицына-1,stop_472
Поликлиника №3-1,stop_473
Магазин (жилой массив Мирный)-1,stop_474
Дом культуры (Мирный)-1,stop_475
Артель Волга-1,stop_476
Аграрный университет,stop_477
жилой массив Борисково-2,stop_478
"ТД ""Аромат""-1",stop_479
ул. Абжалилова,stop_48
ул. Глазунова-1,stop_480
Проектная-1,stop_481
ул. Авангардная-1,stop_482
Регистрационная палата-1,stop_483
ул. В.Кулагина-1,stop_484
Вторчермет-1,stop_485
"Завод ""Искож""-1",stop_486
ул. Модельная-1,stop_487
Татмебельбыт-1,stop_488
ул. Железнодорожная-1,stop_489
ЦПКиО им. Горького-3,stop_49
площадь Вахитова-1,stop_490
ул. Р.Яхина,stop_491
ул. Техническая-1,stop_492
ул. Павлюхина,stop_493
ул. Гагарина-4,stop_494
Проспект Ибрагимова-3,stop_495
ул. Октябрьская-1,stop_496
ул. Короленко-2,stop_497
"Кафе ""Солнышко""-3",stop_498
"Магазин ""Новинка""",stop_499
Театр им. Г.Камала-1,stop_5
ул. Лейтенанта Шмидта-1,stop_50
ул. Мусина-4,stop_500
ул. Ф.Амирхана-4,stop_501
ул. Четаева-1,stop_502
ул. Чистопольская-2,stop_503
ул. С.Хакима-1,stop_504
Мостанция Миллениум-1,stop_505
Мостанция Миллениум,stop_506
ул. Героя РФ А.Козина,stop_507
ул. С.Хакима,stop_508
ул. Чистопольская,stop_509
ул. Калинина-1,stop_51
ул. Четаева,stop_510
"Магазин ""Океан""-2",stop_511
"Магазин ""Новинка""-1",stop_512
"Кафе ""Солнышко""-2",stop_513
Строительный институт,stop_514
ул. Волкова-1,stop_515
ул. Толстого-3,stop_516
ул. Бутлерова-1,stop_517
ул. Дементьева-1,stop_518
ул. Челюскина-1,stop_519
"Станция метро ""Суконная Слобода""-1",stop_52
ул. Белинского-1,stop_520
"Совхоз ""Тепличный""-1",stop_521
ул. Хлебозаводская-1,stop_522
Вертолетный завод-1,stop_523
Водоканал-1,stop_524
ул. Тэцевская-1,stop_525
Общежитие-1,stop_526
Нефтехимический колледж,stop_527
ул. Гудованцева,stop_528
ул. Моисеева,stop_529
Театр кукол,stop_53
ул. Химиков,stop_530
ул. Беломорская,stop_531
жилой массив Жилплощадка,stop_532
Общежитие-2,stop_533
ул. Тэцевская,stop_534
Водоканал,stop_535
Вертолетный завод,stop_536
ул. Хлебозаводская,stop_537
"Совхоз ""Тепличный""",stop_538
ул. Белинского,stop_539
ул. А.Айдинова,stop_54
ул. Челюскина,stop_540
ул. Бутлерова,stop_541
ул. Толстого-2,stop_542
ул. Волкова,stop_543
ул. Академика Глушко-3,stop_544
ул. Бигичева-1,stop_545
Детский сад №185-1,stop_546
ул. Академика Сахарова-2,stop_547
ул. Серп и Молот,stop_548
ул. Урицкого,stop_549
Сквер им. Г.Тукая-1,stop_55
ул. Адмиралтейская,stop_550
ул. Набережная,stop_551
ул. Боевая,stop_552
ул. Западная,stop_553
Товарный двор,stop_554
Станция Лагерная,stop_555
Водозабор,stop_556
Поликлиника №4,stop_557
жилой массив Алтай,stop_558
Переправа,stop_559
Театр им. Г.Камала-2,stop_56
жилой массив Старое Аракчино-2,stop_560
ул. Гумера Баширова,stop_561
жилой массив Новое Аракчино,stop_562
Затон,stop_563
Гипсовый завод,stop_564
жилой массив Новостройка,stop_565
Школа №8,stop_566
ул. Приволжская,stop_567
жилой массив Красная Горка,stop_568
ул. Богатырская,stop_569
ул. Г.Тукая,stop_57
ул. Привокзальная,stop_570
ул. Богатырская-1,stop_571
жилой массив Красная Горка-1,stop_572
ул. Приволжская-1,stop_573
Школа №8-1,stop_574
жилой массив Новостройка-1,stop_575
Гипсовый завод-1,stop_576
Затон-1,stop_577
жилой массив Новое Аракчино-1,stop_578
ул. Гумера Баширова-1,stop_579
ул. Татарстан-1,stop_58
жилой массив Старое Аракчино-3,stop_580
Переправа-1,stop_581
жилой массив Алтай-1,stop_582
Поликлиника №4-1,stop_583
Водозабор-1,stop_584
Станция Лагерная-1,stop_585
ул. Слесарная-1,stop_586
ул. Западная-1,stop_587
ул. Боевая-1,stop_588
ул. Набережная-1,stop_589
ул. К.Тинчурина-1,stop_59
ул. Адмиралтейская-1,stop_590
ул. Урицкого-1,stop_591
ул. Серп и Молот-1,stop_592
Детский сад №185,stop_593
ул. Бигичева,stop_594
"Магазин ""IKEA""",stop_595
Проспект А.Камалеева,stop_596
Завод ЖБИ-2-1,stop_597
ул. Даурская-3,stop_598
"Станция метро ""Аметьево""-2",stop_599
Сквер им. Г.Тукая-2,stop_6
Автовокзал-1,stop_60
ул. Зайцева,stop_600
Аквапарк,stop_601
Мехобъединение,stop_602
ул. Меховщиков,stop_603
Макаронная фабрика,stop_604
ул. Магистральная,stop_605
"Промбаза ""Ласточка""",stop_606
Юридическая академия,stop_607
жилой массив Кукушкино,stop_608
ул. Тихорецкая,stop_609
"Станция метро ""Аметьево""",stop_61
Нефтебаза,stop_610
Переезд (ул. Южно-Промышленная),stop_611
ул. Поперечно-Отарская,stop_612
ул. Центрально-Отарская,stop_613
Трансформаторная,stop_614
Магазин (Отары),stop_615
ул. Калинина (Отары),stop_616
жилой массив Отары,stop_617
Коммуна садовая,stop_618
ул. Садовая (Отары),stop_619
жилой массив Ометьево-1,stop_62
жилой массив Старое Победилово,stop_620
ул. Садовая (Отары)-1,stop_621
Коммуна садовая-1,stop_622
жилой массив Отары-1,stop_623
ул. Калинина (Отары)-1,stop_624
Магазин (Отары)-1,stop_625
Трансформаторная-1,stop_626
ул. Центрально-Отарская-1,stop_627
ул. Поперечно-Отарская-1,stop_628
Переезд (ул. Южно-Промышленная)-1,stop_629
Школа №14-1,stop_63
Нефтебаза-1,stop_630
ул. Тихорецкая-1,stop_631
жилой массив Кукушкино-1,stop_632
Юридическая академия-1,stop_633
"Промбаза ""Ласточка""-1",stop_634
ул. Магистральная-1,stop_635
Макаронная фабрика-1,stop_636
ул. Меховщиков-1,stop_637
Мехобъединение-1,stop_638
Аквапарк-1,stop_639
ул. Мичурина-1,stop_64
ул. Зайцева-1,stop_640
ул. Т.Миннуллина-1,stop_641
"Станция метро ""Аметьево""-1",stop_642
ул. Даурская-2,stop_643
Завод ЖБИ-2,stop_644
ул. Ленинградская-2,stop_645
ул. Побежимова,stop_646
ул. Декабристов,stop_647
ул. Ф.Амирхана-3,stop_648
ул. Закиева-1,stop_649
ул. Качалова-1,stop_65
"ул. Ю.Фучика, д.14-1",stop_650
"ул. Ю.Фучика, д.8-1",stop_651
"ул. Ю.Фучика, д.8",stop_652
"ул. Ю.Фучика, д.14",stop_653
ул. Минская-6,stop_654
ул. Закиева-3,stop_655
ул. Дементьева-2,stop_656
Институт,stop_657
ул. Журналистов-1,stop_658
"ТК ""Советский""-1",stop_659
Концертный зал филармонии,stop_66
Вещевой рынок-1,stop_660
Рынок стройматериалов-1,stop_661
Трамвайное депо-1,stop_662
Трамвайное депо,stop_663
Рынок стройматериалов,stop_664
Вещевой рынок,stop_665
"ТК ""Советский""",stop_666
ул. Журналистов,stop_667
Городская клиническая больница №7-2,stop_668
Библиотека,stop_669
ул. Т.Миннуллина,stop_67
Авторынок-2,stop_670
УФМС,stop_671
Авторынок,stop_672
25-й квартал,stop_673
жилой массив Брикетный,stop_674
жилой массив Савиново,stop_675
МЖК,stop_676
ул. Гаврилова-3,stop_677
ул. Академика Лаврентьева,stop_678
ул. Академика Лаврентьева-1,stop_679
Театр им. Г.Камала,stop_68
ул. Гаврилова-2,stop_680
МЖК-1,stop_681
жилой массив Савиново-1,stop_682
жилой массив Брикетный-1,stop_683
25-й квартал-1,stop_684
Авторынок-1,stop_685
Библиотека-1,stop_686
Дворец спорта-1,stop_687
Аптека №293,stop_688
ул. Сабан,stop_689
Колхозный рынок,stop_69
Школа №70-1,stop_690
Озеро Лебяжье,stop_691
"СК ""Олимпиец""",stop_692
жилой массив Ремплер,stop_693
КЭМП,stop_694
жилой массив Залесный,stop_695
ул. Осиновская,stop_696
"жилой комплекс ""Салават Купере"" 2",stop_697
ул. А.Арсланова,stop_698
ул. Нурихана Фаттаха,stop_699
ул. А.Айдинова-1,stop_7
ул. Чернышевского-3,stop_70
"жилой комплекс ""Радужный""",stop_700
ул. Садовая (Осиново),stop_701
Осиновская гимназия,stop_702
Осиново,stop_703
Поликлиника (Осиново),stop_704
Осиново-1,stop_705
Осиновская гимназия-1,stop_706
ул. Садовая (Осиново)-1,stop_707
"жилой комплекс ""Радужный""-1",stop_708
ул. Нурихана Фаттаха-1,stop_709
Ж.-д.вокзал,stop_71
ул. А.Арсланова-1,stop_710
"жилой комплекс ""Салават Купере"" 2 -1",stop_711
ул. Осиновская-1,stop_712
жилой массив Залесный-1,stop_713
КЭМП-1,stop_714
жилой массив Ремплер-1,stop_715
"СК ""Олимпиец""-1",stop_716
Озеро Лебяжье-1,stop_717
ул. Можайского-2,stop_718
ул. Светлая,stop_719
ул. С.Саид-Галиева,stop_72
Школа №70,stop_720
ул. Сабан-1,stop_721
Аптека №293-1,stop_722
АЗС (ул. Залесная),stop_723
жилой массив Новая Тура,stop_724
Новониколаевский,stop_725
жилой массив Новая Тура-1,stop_726
АЗС (ул. Залесная)-1,stop_727
"Станция метро ""Проспект Победы""-1",stop_728
"Станция метро ""Проспект Победы""-3",stop_729
ЦУМ 2,stop_73
ул. Пржевальского,stop_730
ул. Циолковского,stop_731
ул. Ударная,stop_732
ул. Малая Заречная,stop_733
Магазин (ул. Песочная),stop_734
ул. Песочная,stop_735
жилой массив Сухая Река-1,stop_736
ул. Песочная-1,stop_737
Магазин (ул. Песочная)-1,stop_738
ул. Малая Заречная-1,stop_739
ЦУМ-1,stop_74
ул. П.Баранова-1,stop_740
ул. Вересаева-1,stop_741
ул. Пржевальского-1,stop_742
Ветеринарная академия-2,stop_743
"Санаторий ""Ливадия""",stop_744
Перегрузочная,stop_745
жилой массив Торфяной,stop_746
ул. Возвышенная,stop_747
жилой массив станции Дербышки-1,stop_748
ул. Возвышенная-1,stop_749
ул. Чернышевского-2,stop_75
жилой массив Торфяной-1,stop_750
Перегрузочная-1,stop_751
"Санаторий ""Ливадия""-1",stop_752
ул. Камчатская,stop_753
Сады 1 (Сухая река),stop_754
Сады 2 (Сухая Река),stop_755
"СО ""КАПО-11""",stop_756
Сельмаг,stop_757
Правление,stop_758
жилой массив Кадышево,stop_759
Колхозный рынок-2,stop_76
поворот на жилой массив Щербаковка,stop_760
Граница территории г.Казани №5-1,stop_761
"Кафе ""Ак Барс""",stop_762
"Кафе ""Ак Барс""-1",stop_763
"СО ""Крутушка""-1",stop_764
Граница территории г.Казани №5,stop_765
поворот на жилой массив Щербаковка-1,stop_766
жилой массив Кадышево-1,stop_767
Правление-1,stop_768
Сельмаг-1,stop_769
ул. Н.Назарбаева,stop_77
"СО ""КАПО-11""-1",stop_770
Сады 2 (Сухая Река)-1,stop_771
Сады 1 (Сухая река)-1,stop_772
ул. Камчатская-1,stop_773
Интернат-2,stop_774
Граница территории г.Казани №4,stop_775
"СНТ ""Автомобилист""",stop_776
"СНТ ""Автомобилист""-1",stop_777
Граница территории г.Казани №4-1,stop_778
ул. Камчатская-2,stop_779
ул. Качалова,stop_78
ГСК,stop_780
"СО ""КАПО-14""",stop_781
ул. Шоссейная,stop_782
ул. Рабочая,stop_783
жилой массив Борисоглебское,stop_784
ул. Рабочая-1,stop_785
ул. Шоссейная-1,stop_786
"СО ""КАПО-14""-1",stop_787
ГСК-1,stop_788
ул. Химическая,stop_789
ул. Мичурина,stop_79
Химфармзавод-1,stop_790
"Завод ""Сантехзаготовка""-1",stop_791
ул. Серафимовича-1,stop_792
ул. Пожарского-1,stop_793
ул. Суворова-1,stop_794
ул. Давыдова-1,stop_795
ул. В.Дубинина-1,stop_796
ул. Кутузова-1,stop_797
"Магазин ""Караван Сарай""-1",stop_798
ул. Короленко-1,stop_799
Театр кукол-1,stop_8
Школа №14,stop_80
"Магазин ""Спорттовары""",stop_800
ул. Ф.Амирхана-2,stop_801
ул. Ф.Амирхана-1,stop_802
ул. Короленко,stop_803
ул. Октябрьская,stop_804
Проспект Ибрагимова-2,stop_805
ул. Челюскина-3,stop_806
ул. Белинского-2,stop_807
Городская клиническая больница №12,stop_808
ул. Побежимова-1,stop_809
жилой массив Ометьево,stop_81
Баня №14-1,stop_810
"Магазин ""Караван Сарай""",stop_811
ул. Кутузова,stop_812
ул. В.Дубинина,stop_813
ул. Давыдова,stop_814
ул. Суворова,stop_815
ул. Пожарского,stop_816
ул. Серафимовича,stop_817
"Завод ""Сантехзаготовка""",stop_818
жилой массив Жилплощадка-2,stop_819
жилой массив Ферма-2,stop_82
Химфармзавод,stop_820
Азинский рынок,stop_821
Университет правосудия,stop_822
"Строительная фирма ""Тектоник""",stop_823
Парк им.Петрова,stop_824
ул. Первого Мая-1,stop_825
Льнокомбинат,stop_826
ул. Гладилова-1,stop_827
Су Анасы,stop_828
ул. Гладилова,stop_829
ул. Р.Гареева-1,stop_83
ул. Первого Мая,stop_830
ул. 25-го Октября,stop_831
ул. Академика Губкина-2,stop_832
"Строительная фирма ""Тектоник""-1",stop_833
Университет правосудия-1,stop_834
"жилой комплекс Экопарк ""Дубрава""",stop_835
"ул. Дубравная, д.23",stop_836
"ул. Дубравная, д.11",stop_837
ул. Дубравная,stop_838
ул. Комиссара Габишева-1,stop_839
ул. Азамат-1,stop_84
жилой массив Алтан-1,stop_840
9-й микрорайон-1,stop_841
ул. Кул. Гали (ул. К.Габишева),stop_842
жилой массив Восточный,stop_843
ул. Академика Завойского-1,stop_844
Железнодорожный техникум,stop_845
Юдинское кладбище,stop_846
Санаторий,stop_847
"Стадион ""Локомотив""",stop_848
ДК Железнодорожников,stop_849
ДРКБ-1,stop_85
ул. Лейтенанта Красикова,stop_850
ул. Бирюзовая,stop_851
НГЧ-8,stop_852
Профилакторий,stop_853
НГЧ-8-1,stop_854
ул. Бирюзовая-1,stop_855
ул. Лейтенанта Красикова-1,stop_856
ДК Железнодорожников-1,stop_857
"Стадион ""Локомотив""-1",stop_858
Санаторий-1,stop_859
РКБ-1,stop_86
Юдинское кладбище-1,stop_860
Железнодорожный техникум-1,stop_861
ул. Академика Завойского-2,stop_862
жилой массив Восточный-3,stop_863
ул. Кул. Гали (ул. К.Габишева)-1,stop_864
9-й микрорайон,stop_865
жилой массив Алтан,stop_866
ул. Комиссара Габишева,stop_867
ул. Дубравная-1,stop_868
"ул. Дубравная, д.11-1",stop_869
Южная-1,stop_87
"ул. Дубравная, д.23-1",stop_870
"жилой комплекс Экопарк ""Дубрава""-1",stop_871
ул. Батыршина,stop_872
Оренбургский тракт,stop_873
Деревня Универсиады-7,stop_874
Пенсионный фонд,stop_875
ул. Сабан-2,stop_876
ул. Горьковское Шоссе-1,stop_877
Роддом-2,stop_878
ул. Маршала Чуйкова-2,stop_879
Деревня Универсиады-1,stop_88
РКБ-2,stop_880
Общежитие РКБ,stop_881
"Торговый центр ""Порт""-1",stop_882
ул. Братьев Батталовых,stop_883
"жилой комплекс ""Лесной городок""",stop_884
ул. Братьев Батталовых-1,stop_885
"Торговый центр ""Порт""-2",stop_886
Общежитие РКБ-1,stop_887
Роддом-3,stop_888
Универсам 2,stop_889
ул. Академика Парина-1,stop_89
Школа №129-2,stop_890
"СЦ ""Динамо""",stop_891
ул. Матюшинская,stop_892
ул. Школьная,stop_893
жилой массив Петровский,stop_894
ул. Матюшинская-1,stop_895
"СЦ ""Динамо""-1",stop_896
ул. Воровского-1,stop_897
ул. Гагарина-3,stop_898
Школа №71,stop_899
"Станция метро ""Суконная Слобода""",stop_9
Медицинский колледж-1,stop_90
ул. Восстания-3,stop_900
ул. Гагарина-2,stop_901
ул. Воровского,stop_902
По требованию (ул.Тэцевская),stop_903
Мостоотряд 3,stop_904
Ремплер,stop_905
Воронино,stop_906
ул. М.Карима,stop_907
Проспект И.Шакирова,stop_908
ул. Хибинская,stop_909
ул. Х.Мавлютова-1,stop_91
ул. Альфии Авзаловой,stop_910
ул. Н.Юсупова,stop_911
ул. Тансык,stop_912
"жилой комплекс ""Салават Купере""",stop_913
ул. В.Сажинова,stop_914
ул. Н.Юсупова-1,stop_915
ул. Альфии Авзаловой-1,stop_916
ул. Хибинская-1,stop_917
Проспект И.Шакирова-1,stop_918
Проспект Заречье,stop_919
"Станция метро ""Горки""-2",stop_92
